remodel,49829,0.7133016118830462,"[49829, 28912, 22659, 48610, 29714, 33327, 13012, 8145, 41891, 8202, 19962]"
manager,1170,0.8916121205413129,"[1170, 93321, 2815, 13404, 4579, 848, 89442, 501, 13395, 59312, 1416]"
basement,7784,0.827441921515193,"[7784, 54534, 17886, 78228, 2053, 18494, 28058, 7490, 1239, 55539, 20941]"
building,411,0.8096067336152843,"[411, 611, 4075, 9392, 8794, 28433, 378, 4375, 13510, 30747, 1937]"
room,1239,0.7217568846555882,"[1239, 3652, 17886, 28058, 22952, 14252, 27630, 10414, 144830, 51590, 8647]"
double,1354,0.9644947080766375,"[1354, 22202, 3754, 130377, 80836, 10473, 148831, 15922, 71921, 293, 17276]"
renew,16682,0.8645667377025739,"[16682, 7106, 35632, 91634, 83004, 20549, 10336, 8811, 98221, 143958, 14608]"
utilities,11954,0.9344746335050097,"[11954, 4588, 3445, 4424, 86960, 37117, 41122, 35314, 139460, 13601, 7812]"
apartment,4674,0.8060485343638446,"[4674, 7608, 10414, 37807, 40934, 49529, 30792, 14252, 17886, 27098, 88650]"
update,2579,0.8979881962885496,"[2579, 138206, 3165, 7853, 11994, 76138, 62974, 3548, 28817, 3473, 27222]"
visit,2281,0.8427631758974432,"[2281, 5335, 2850, 4016, 3312, 3781, 7331, 9908, 53122, 27253, 2138]"
move,803,0.9343049852929723,"[803, 1628, 3598, 961, 16817, 516, 1261, 2138, 363, 696, 1258]"
yearly,8675,0.8428002190382538,"[8675, 1277, 4317, 91199, 4130, 139912, 36624, 88742, 75658, 2309, 105]"
playground,12312,0.8264393207239916,"[12312, 32743, 12023, 106534, 70755, 52220, 41259, 67934, 54812, 35276, 53274]"
walk,3081,0.9122632472648575,"[3081, 4250, 7478, 8703, 44951, 20824, 62323, 41259, 23157, 21888, 21612]"
fireplace,22259,0.7204621780012981,"[22259, 39945, 140423, 60750, 52873, 15334, 96098, 55238, 136357, 58264, 103404]"
prefer,4459,0.8086599424621468,"[4459, 83639, 14923, 3686, 14019, 4376, 17345, 14383, 6776, 1654, 687]"
king,417,0.8943108973482555,"[417, 2779, 1139, 6316, 26989, 114632, 4466, 107465, 3488, 16735, 135294]"
check,1748,0.7801441718333831,"[1748, 4831, 6292, 8913, 97323, 128037, 5967, 6260, 77240, 22346, 3548]"
floor,2053,0.8183764501810759,"[2053, 7490, 61055, 7784, 55539, 104856, 28058, 32243, 13210, 51590, 21742]"
bar,744,0.994591831538249,"[744, 5564, 1333, 116972, 312, 74472, 74231, 24424, 108234, 99073, 2666]"
the,2,0.897232061607587,"[2, 4, 37, 7, 6, 62, 21, 12, 44, 11082, 20]"
union,465,0.9689205478104721,"[465, 5471, 983, 52059, 32627, 1100, 2243, 109597, 66874, 76962, 53247]"
happy,2205,0.8729739539164513,"[2205, 13004, 27738, 9079, 27346, 19864, 3200, 2625, 7398, 23088, 36444]"
scam,17548,0.8160825137042028,"[17548, 40306, 113960, 6477, 106779, 141931, 145701, 18952, 75406, 66544, 48467]"
ps,6220,0.9603747350845543,"[6220, 6988, 20058, 117877, 22904, 28905, 4672, 68536, 3704, 69653, 6919]"
$,3,0,0
closet,17899,0.8387332646131522,"[17899, 71097, 14252, 43142, 10414, 27630, 96098, 17886, 73111, 90227, 12461]"
apt,19391,1.071064821349676,"[19391, 70992, 72353, 2833, 12396, 40994, 92571, 132926, 34260, 111251, 2203]"
summer,514,0.8898113311181579,"[514, 1309, 829, 6404, 5196, 1535, 964, 17511, 8503, 76276, 26508]"
town,285,0.9408809745468926,"[285, 1503, 107, 362, 11296, 24988, 36489, 128302, 44908, 44368, 6871]"
see,90,0.9658133439906258,"[90, 8286, 283, 539, 746, 139927, 1469, 71074, 226, 435, 14617]"
gas,1805,0.7863335285177112,"[1805, 11414, 54353, 46593, 7660, 18104, 34990, 30157, 28022, 11752, 10388]"
lobby,10151,0.9230540348315257,"[10151, 48803, 38333, 32243, 14200, 16171, 104856, 77636, 28058, 55539, 51590]"
garage,7403,0.9009469134458878,"[7403, 36681, 144020, 27777, 57812, 7784, 5284, 58787, 81228, 36128, 3086]"
or,35,0.8995985256527543,"[35, 594, 82, 759, 121, 939, 2424, 8591, 1862, 3083, 571]"
deep,1912,0.9065305074248823,"[1912, 8518, 18877, 7486, 12519, 81999, 38132, 42417, 72687, 135106, 2237]"
houses,1237,0.8005014243268793,"[1237, 611, 49529, 52165, 221, 10167, 30812, 16211, 82189, 94380, 3158]"
security,1140,0.896957329537298,"[1140, 54550, 102264, 35583, 47311, 33029, 44847, 18209, 33889, 2246, 6634]"
hard,1168,0.9448043917971273,"[1168, 7553, 6934, 1638, 2203, 4006, 19060, 29455, 23135, 22642, 28509]"
dining,8647,0.7617127087810692,"[8647, 22952, 3652, 41506, 110743, 20421, 32408, 81426, 1239, 11139, 25377]"
outdoor,4922,0.8603565686802603,"[4922, 16692, 3919, 19891, 32743, 54812, 83226, 12312, 104652, 20564, 95103]"
bedrooms,22952,0.6925902335631786,"[22952, 3652, 32408, 10414, 110743, 1239, 8647, 17886, 7608, 14252, 104856]"
month,1187,0.836029247271667,"[1187, 791, 105, 525, 26597, 714, 1424, 229, 78186, 96229, 1115]"
