房子,8318,0.78079836667204,"[  8318  34557   6617  32070  83583  18797  16506  13629 134240  35033
  18405]",simplified
卧室,35844,0.7413124962936096,"[ 35844  12294  26671  42484  63091  79195  56015  76999  30316 101217
  66080]",simplified
朋友,2256,0.7243349897705196,"[  2256   5421   9269  11225   4554  12720 143086 144270   1266  41263
   4363]",simplified
可,179,0.543074616813845,[ 179  345    1   93    3   80 1983   53   51  283  394],simplified
说,582,0.5167793470548658,[ 582 4402  487  163  479  991  578 1738  766 5734 3440],simplified
性,价,比
书柜,115699,0.7888473457436402,"[115699 111855  57847  95125 135245  59017  69183  62532  13467 111908
  89173]",書櫃
清理,8282,0.8107524351995234,"[  8282  10345   4888  62443  35721 135927  73050   9785    303   2238
   4660]",simplified
剩余,12945,0.751289377266424,[12945 28941  7705 12086  6472 40781  1150  1332  8119 89108   912],simplified
兴趣,8187,0.7657347838311243,[ 8187 15811 10236 38795  5146 16514  7245  5223 18758  7723  9316],simplified
公共,1388,0.8766360737348503,[ 1388 19276  3452   853  8918  5387  5448   148 18735  2658   537],simplified
的,2,0.36673278755830113,[ 2  3  1 24 16 18 53 80 29 75 34],simplified
必须,2540,0.635698183396856,[ 2540  7410  8775  1428  6184 10347  1784  3379  3762  2436  2465],simplified
分,162,0.6225892699727854,[162   3   1 363 521  16 102  96  61 394  34],simplified
具体,4426,0.6888672759218781,[ 4426  5875  2167  2515  1410 19558  3728  1788  5917 11219  8859],simplified
满,2932,0.6396912699394797,[2932  578 2846   23 1390  363  991   90  479  229  132],simplified
低价,43964,0.7673851557145677,"[ 43964  40626   6064  80856  26189 145793  65855   5908  91062   3968
  90636]",simplified
月,12,0.5004907770896746,[ 12  15   5   3   8   1  16   7  63  61 106],simplified
卧室,35844,0.7413124962936096,"[ 35844  12294  26671  42484  63091  79195  56015  76999  30316 101217
  66080]",simplified
范围,2406,0.7780744774575908,[ 2406  2398  4497  2965 12656  5784 17632 16799  6822  5889  1581],simplified
离,3591,0.6200875025901893,[3591  275 2380 3291  578   87 1738 2688  991 4862 1472],simplified
地段,14042,0.8772009140840129,[14042 22824  9229  3132 22250 64621  3772 60330 31938  1674  6755],simplified
公寓,6617,0.7771812105607482,[ 6617  3132  8318  6363 13629 35420 14769 32104  6755 29803 16506],simplified
修,1230,0.6403154007928178,[1230    1  360    3   24 2527  907 5050  207   80  549],simplified
免费,6775,0.7679540628789796,[ 6775  1268  4354  8788 60678 19593  2926 12552  5908 33947 95912],simplified
家具,15831,0.7692935358962476,"[ 15831  29532  34616 133105  78660   9244  81135  67634  24817  20470
  19902]",simplified
里面,6550,0.6883042287250236,[ 6550  6209  9702   515  8119  1535   895  1515 12179  2289 10159],simplified
地理,2716,0.8792455177021186,"[  2716  27732   5729  25278   5763   5500  68219 102891   1251 109072
 105757]",simplified
租金,17376,0.7797561363615986,"[ 17376  47413  88134   7510  61887 106167  62730 100816 131346  33864
  11533]",simplified
