stranger,陌生,1.0584609772370792,594,0.43982348
hobby,嗜好,1.0657587052013977,29,0.43206438
ok,啊,1.0880973184208824,599,0.4080709
novel,小说,1.038469517759933,223,0.460785
so,所以,0.9803773091585396,311,0.51941913
s,跟,1.0483915799721977,5,0.4504462
ban,禁止,1.0466744557035548,97,0.45226377
homework,考完,1.0843512770407255,698,0.4120984
schedule,日程,1.0872780157955264,67,0.4089258
phd,教授,0.9747051518786574,107,0.52493364
degree,系,1.0707115017028075,149,0.42681187
research,研究,0.9409800232755798,46,0.5572998
company,公司,0.8760336742463986,8,0.61625737
university,大学,0.9735441921986774,124,0.5260812
social,社会,1.083410687387598,580,0.41306216
master,匠,1.1032703406952418,84,0.3914113
paper,印刷,1.0405209854988136,64,0.45867905
lectures,讲座,1.1200882259276106,955,0.37267902
passion,激情,1.0751551736752838,383,0.42200205
daily,每日,0.9164274095687237,7,0.58008844
supervision,监督,1.0845477026632335,117,0.41184884
motivation,用意,1.0360010497541619,793,0.4633399
feel,我不,1.095075942700854,2550,0.40042576
topic,琉竜,1.0517824357995371,783,0.4469018
lecturer,教授,0.9824321871691524,100,0.5173989
linguistic,方言,1.1052840892894547,1776,0.38920265
concept,概念,0.8521990067444184,11,0.63686407
trade,贸易,1.0666060376866986,90,0.431137
professor,教授,0.8950686817092194,31,0.5994123
library,图书,1.0900235586315818,153,0.4059249
final,翌,1.0971278039113184,236,0.3982493
certificate,准予,1.079468176278466,173,0.41736916
parents,父母,0.8568129860391714,24,0.63293374
test,测试,1.0804010362882486,88,0.41633996
app,咭,1.1360410170851722,1569,0.35474095
qq,陌,1.1797079984844012,1325,0.30412585
communication,通信,1.0028749240986268,55,0.49712372
teacher,住校,1.0979572433402969,448,0.39725593
judgement,公允,1.072437467324364,1073,0.42490155
sister,姐妹,0.9525217816042049,28,0.54636776
school,高中,0.9988541866390676,131,0.5011435
internet,网路,1.0996719712469365,651,0.39535356
live,唱,1.1216567696846604,145,0.37084374
learning,教育,1.1104458949885272,673,0.38343143
judge,法官,0.9309417203954082,37,0.5666717
games,玩,1.127706546320002,545,0.3641149
tool,工具,0.9067104442723397,6,0.588929
goal,球,1.0937882971191621,309,0.40185025
play,上演,1.0487288511773745,23,0.45010296
work,工作,0.9463516950701147,3,0.5521947
balance,平衡,0.9041648296412483,12,0.5912365
idea,想法,0.9607581828575583,52,0.53847957
change,更改,0.9358967496690729,10,0.56204826
method,方法,0.8831555921342279,7,0.61001426
readers,读者,1.0851480949861367,335,0.4112054
comments,竜龙,1.0800805329527474,578,0.416743
judgments,判案,1.0725352770097913,1406,0.42481583
experience,感受,1.054784287956236,288,0.4436908
apps,桌面,1.176894989935245,1415,0.30750597
smartphone,平板,1.0949290300064607,1280,0.40058398
yeah,咦,1.0263645339107073,1074,0.4732949
function,功能,1.1059879471892826,1226,0.38835967
alert,警告,1.02891533338338,31,0.47065586
reminder,提醒,1.0842159841275152,320,0.4122659
optimization,分析,1.1737721919018567,7346,0.3111172
corporation,公司,0.9962970764963446,27,0.50365806
yes,你,1.1386267093116507,1543,0.35178682
province,省,0.9945397445531919,19,0.50541914
sports,体育,1.0596685338115355,90,0.4385206
basketball,足球,1.074289299084021,448,0.42295086
seldom,往往,1.008683839232926,107,0.49127135
lol,瞎掰,1.0253518630722813,743,0.47429636
picture,相片,0.9846012620364051,40,0.5152668
time,之前,1.0028718688752267,22,0.4971323
team,赛,1.107668984452266,867,0.38654968
expectation,期望,0.9634183473072135,40,0.5359338
consulting,咨询,1.0914340465034533,456,0.40438473
sample,抽取,1.0621097447248902,23,0.43599197
testing,测试,1.0777283907042716,411,0.41927058
intent,故意,1.032580823201098,220,0.4668904
bank,分行,1.0275760633010784,83,0.47203195
tvb,芷,1.0984332063692526,513,0.39674276
lesson,瞭解,1.1068159034899592,154,0.38749063
sentences,句,1.1391896444088043,676,0.35109302
local,本地,1.0924491122016564,31,0.40324596
msc,系,1.1165183919171326,228,0.37669116
tomorrow,明天,0.9465596167116304,7,0.55202943
marketing,品牌,1.120996618925067,1079,0.37168476
postgraduate,深造,1.0793968730462098,718,0.41745472
postgrad,唔,1.154113810956388,1050,0.3339893
supervisor,主管,1.0658064849716993,95,0.43201968
reputation,名望,1.0601557168047404,204,0.43804607
prefer,偏好,1.0836079698392191,647,0.41288608
po,廖,1.0884236360779205,55,0.4077018
summer,夏季,0.9521213525854431,8,0.5467175
offer,提供,1.0600364244561136,101,0.4381411
exchange,交易,1.0109593379187896,19,0.4889523
europe,欧洲,1.010613790115731,33,0.4893209
it,它,1.008840962791997,30,0.49109793
programming,程式,1.1453869490080169,1129,0.34402767
tony,汀,1.115184562252388,797,0.3781749
a,或,1.0351505103199408,14,0.46426457
session,日程,1.0875224422684462,47,0.40863672
sensitive,敏感,0.9296760460348482,12,0.56784993
bl,交,1.1820852979990781,459,0.30129635
novels,短篇,1.112752035843256,547,0.3808608
priest,神父,1.0054142429025514,157,0.49455464
setting,在,1.136274716491337,267,0.354466
program,旨,1.1213005476114006,320,0.37133855
project,正在,1.1169476581294753,238,0.37619632
lisa,妮,1.099254214022914,1402,0.39582106
psd,正煕,1.1901771193545745,2422,0.29174048
major,重要,1.0534738350586765,7,0.4451127
language,语言,0.9666174223635984,75,0.5327977
plan,打算,1.0271114070286467,22,0.47254148
priority,考量,1.0825161358292679,61,0.4140592
music,音乐,1.0760708514251698,752,0.4210318
special,特殊,0.9843461717579421,4,0.515576
expensive,便宜,0.9565382626158533,33,0.5424883
album,碟,1.0487076672990006,1028,0.45010176
